Run,Gen,Max_PDR,Avg_PDR
1,1,28.57340425531915,24.878617021276593
1,2,28.57340425531915,21.507234042553193
1,3,28.57340425531915,22.420106382978723
1,4,28.57340425531915,25.253085106382976
1,5,28.57340425531915,23.742446808510635
1,6,28.57340425531915,23.136382978723404
1,7,29.021276595744684,26.323297872340426
1,8,29.04255319148936,26.33117021276596
1,9,29.04255319148936,24.365957446808512
1,10,29.04255319148936,27.85212765957447
2,1,27.53191489361702,24.20957446808511
2,2,27.53191489361702,21.856382978723406
2,3,28.851063829787233,24.569148936170215
2,4,28.851063829787233,21.469148936170214
2,5,28.851063829787233,18.84223404255319
2,6,28.851063829787233,21.326595744680848
2,7,28.851063829787233,23.71170212765957
2,8,28.851063829787233,25.21489361702128
2,9,28.851063829787233,25.986170212765956
2,10,28.851063829787233,27.259574468085106
3,1,28.372340425531917,25.31595744680851
3,2,28.372340425531917,20.03085106382979
3,3,28.372340425531917,24.23829787234043
3,4,28.372340425531917,22.515744680851064
3,5,28.372340425531917,21.04468085106383
3,6,28.372340425531917,23.53936170212766
3,7,28.372340425531917,23.28936170212766
3,8,28.372340425531917,23.773404255319146
3,9,28.372340425531917,26.963829787234044
3,10,28.702127659574465,26.89893617021276
4,1,28.372340425531917,22.21276595744681
4,2,28.372340425531917,18.268085106382976
4,3,28.372340425531917,23.502127659574466
4,4,28.372340425531917,20.854255319148933
4,5,28.372340425531917,23.301063829787232
4,6,28.372340425531917,22.83085106382979
4,7,28.372340425531917,24.10563829787234
4,8,29.170212765957448,26.967021276595744
4,9,29.170212765957448,26.363085106382975
4,10,29.170212765957448,28.043617021276596
5,1,28.627659574468083,25.261489361702125
5,2,28.627659574468083,21.53829787234043
5,3,28.627659574468083,21.388297872340424
5,4,28.627659574468083,20.777659574468082
5,5,28.627659574468083,23.93617021276596
5,6,28.627659574468083,24.138297872340424
5,7,28.627659574468083,24.704042553191492
5,8,28.925531914893615,26.49659574468085
5,9,28.925531914893615,24.28404255319149
5,10,29.010638297872344,26.705319148936173
6,1,28.127659574468083,24.27734042553191
6,2,28.127659574468083,18.87872340425532
6,3,28.127659574468083,22.947872340425533
6,4,28.127659574468083,21.75744680851064
6,5,28.127659574468083,18.570212765957447
6,6,28.127659574468083,23.77446808510638
6,7,28.127659574468083,24.074468085106382
6,8,28.617021276595743,26.23829787234043
6,9,28.893617021276597,25.530851063829786
6,10,28.999999999999996,26.359574468085107
7,1,29.021276595744684,21.11276595744681
7,2,29.021276595744684,19.943617021276594
7,3,29.021276595744684,22.539042553191493
7,4,29.021276595744684,21.856170212765957
7,5,29.021276595744684,21.61808510638298
7,6,29.021276595744684,24.14893617021277
7,7,29.021276595744684,21.226276595744686
7,8,29.021276595744684,26.634893617021277
7,9,29.021276595744684,22.995744680851068
7,10,29.021276595744684,27.771276595744677
8,1,28.391489361702128,24.59765957446809
8,2,28.69148936170213,19.947659574468084
8,3,28.69148936170213,23.486170212765956
8,4,28.69148936170213,23.44042553191489
8,5,28.69148936170213,24.37872340425532
8,6,28.69148936170213,22.051063829787232
8,7,28.69148936170213,23.33510638297872
8,8,28.999999999999996,25.763829787234037
8,9,28.999999999999996,27.295744680851065
8,10,28.999999999999996,27.9968085106383
9,1,27.0531914893617,24.882234042553186
9,2,28.95744680851064,22.220212765957445
9,3,28.95744680851064,21.586170212765957
9,4,29.095744680851066,25.848936170212767
9,5,29.095744680851066,23.10851063829787
9,6,29.095744680851066,24.5468085106383
9,7,29.095744680851066,24.14787234042553
9,8,29.095744680851066,25.544680851063827
9,9,29.095744680851066,26.318404255319148
9,10,29.095744680851066,27.787234042553195
10,1,28.382978723404257,25.51276595744681
10,2,28.382978723404257,20.704255319148935
10,3,28.382978723404257,22.547872340425535
10,4,28.382978723404257,23.673404255319152
10,5,28.382978723404257,23.348936170212767
10,6,28.382978723404257,21.76276595744681
10,7,28.4468085106383,22.5136170212766
10,8,28.4468085106383,24.074468085106382
10,9,28.5531914893617,26.87127659574468
10,10,28.893617021276597,27.687234042553193
