Run,Gen,Max_PDR,Avg_PDR
1,1,11.457446808510637,1.926595744680851
1,2,22.893617021276597,7.327659574468084
1,3,22.893617021276597,9.885106382978726
1,4,25.71276595744681,19.753191489361704
1,5,27.691489361702125,18.0086170212766
1,6,27.691489361702125,21.675212765957447
1,7,28.54255319148936,24.684042553191492
1,8,28.54255319148936,25.384042553191488
1,9,28.659574468085108,26.684042553191496
1,10,28.723404255319153,27.902127659574468
2,1,9.872340425531915,1.545744680851064
2,2,19.382978723404257,8.28617021276596
2,3,28.4468085106383,15.977659574468086
2,4,28.4468085106383,19.07425531914894
2,5,28.4468085106383,20.909574468085104
2,6,28.4468085106383,23.667659574468082
2,7,28.4468085106383,22.773404255319146
2,8,28.4468085106383,25.41234042553192
2,9,28.648936170212767,26.99574468085106
2,10,28.851063829787233,27.643617021276594
3,1,4.6063829787234045,1.3563829787234043
3,2,5.680851063829787,2.6936170212765957
3,3,5.680851063829787,3.4638297872340424
3,4,5.73404255319149,4.517021276595745
3,5,6.659574468085107,4.804255319148935
3,6,8.27659574468085,4.851063829787234
3,7,9.96808510638298,5.56595744680851
3,8,9.96808510638298,6.020106382978723
3,9,10.97872340425532,6.394680851063829
3,10,10.97872340425532,8.25531914893617
4,1,2.404255319148936,0.8085106382978722
4,2,8.351063829787234,1.9989361702127657
4,3,28.297872340425535,14.048617021276593
4,4,28.76595744680851,19.568085106382977
4,5,28.76595744680851,23.300851063829786
4,6,28.76595744680851,25.290425531914895
4,7,28.76595744680851,24.79340425531915
4,8,28.76595744680851,26.31170212765958
4,9,28.95744680851064,27.546808510638293
4,10,29.159574468085108,28.136489361702125
5,1,6.819148936170214,1.1361702127659574
5,2,14.914893617021278,5.532978723404254
5,3,18.904255319148934,6.779787234042553
5,4,26.45744680851064,12.55
5,5,28.48936170212766,18.414893617021278
5,6,28.840425531914892,22.992553191489357
5,7,28.840425531914892,25.327659574468083
5,8,28.95744680851064,25.751063829787235
5,9,28.95744680851064,26.342553191489362
5,10,28.95744680851064,27.92659574468085
6,1,19.76595744680851,2.124468085106383
6,2,19.77659574468085,5.260638297872341
6,3,26.989361702127663,12.014893617021276
6,4,28.404255319148934,22.703191489361704
6,5,28.404255319148934,22.231914893617024
6,6,28.404255319148934,23.446808510638295
6,7,28.404255319148934,22.371063829787232
6,8,28.404255319148934,25.00531914893617
6,9,28.414893617021274,27.115957446808512
6,10,28.936170212765955,26.77234042553191
7,1,7.691489361702128,3.510638297872341
7,2,13.819148936170214,6.8936170212765955
7,3,23.43617021276596,9.803191489361701
7,4,25.053191489361705,14.770212765957448
7,5,26.361702127659576,17.948936170212765
7,6,28.180851063829788,23.096808510638297
7,7,28.861702127659573,25.713829787234044
7,8,28.861702127659573,21.87340425531915
7,9,28.861702127659573,23.028723404255317
7,10,28.861702127659573,8.317765957446808
8,1,16.53191489361702,4.82659574468085
8,2,16.53191489361702,2.7989361702127655
8,3,16.53191489361702,1.875531914893617
8,4,16.53191489361702,1.851063829787234
8,5,16.53191489361702,2.152127659574468
8,6,16.53191489361702,2.3393617021276594
8,7,16.53191489361702,2.0468085106382974
8,8,25.85924713584288,4.26783960720131
8,9,25.85924713584288,2.585924713584288
8,10,25.85924713584288,2.7252864157119476
9,1,0.4361702127659574,0.07978723404255318
9,2,21.648936170212764,6.87872340425532
9,3,21.648936170212764,5.215957446808511
9,4,26.117021276595743,13.58404255319149
9,5,26.117021276595743,8.520212765957446
9,6,26.117021276595743,4.434042553191489
9,7,26.117021276595743,4.8446808510638295
9,8,26.765957446808507,7.422340425531914
9,9,26.765957446808507,4.580851063829786
9,10,26.765957446808507,5.043617021276594
10,1,9.638297872340425,1.925531914893617
10,2,23.106382978723406,6.261702127659576
10,3,25.643617021276594,15.742021276595745
10,4,26.351063829787236,16.807978723404254
10,5,26.351063829787236,13.40425531914894
10,6,27.180851063829785,11.70744680851064
10,7,27.180851063829785,20.653191489361703
10,8,27.20957446808511,22.095425531914895
10,9,27.20957446808511,25.344361702127657
10,10,27.72340425531915,26.58159574468085
