Gen,Ind_ID,X,Y,Lat,Lon,PDR,IsBest
1,1,1876.2813159705931,2257.216883557539,49.58125793479104,11.024498822667582,0.0,True
1,2,1509.733458787168,896.7936813340132,49.56911748332668,11.018926571349883,0.0,True
1,3,748.6743037765228,1179.1659166820032,49.5718388758708,11.008511648663566,1.127659574468085,True
1,4,206.08743923251924,1368.3736011029976,49.57366966984591,11.001081297376379,0.0,False
1,5,2041.9186694273005,1087.8083555802573,49.57070593205533,11.026353301113259,0.0,False
1,6,223.7883176445611,49.90070275713557,49.56181337304116,11.000841330283452,0.0,False
1,7,1917.3469378219036,2015.173210515516,49.57907224792519,11.024976479784565,3.1914893617021276,True
1,8,1768.322831905656,1995.6361243273104,49.57893266731412,11.022909051868265,2.8617021276595747,False
1,9,1257.453071077971,1759.4933800839317,49.5769332177535,11.01575911857172,14.180851063829788,True
1,10,2110.25485679486,652.0868751898023,49.56677264432027,11.027135582722316,3.1808510638297873,False
2,1,1257.453071077971,1759.4933800839317,49.5769332177535,11.01575911857172,14.180851063829788,True
2,2,1768.5164009996647,2260.7637665048046,49.581315878414266,11.023010292104319,2.1808510638297873,False
2,3,1469.336483300982,1586.1385452199363,49.57532383886163,11.018623855533408,13.031914893617023,False
2,4,2068.154047380059,1382.9385662501888,49.57335253128195,11.026825819310087,0.0,False
2,5,1651.8268480808244,1594.3172712900373,49.57535331563657,11.021149519238374,12.946808510638297,False
2,6,1429.8901575557993,1697.3265538894839,49.57633283517288,11.01811980461944,0.41489361702127653,False
2,7,1267.6710552337545,1778.2243836635057,49.57709913222414,11.015907308724612,0.0,False
2,8,1388.789018546218,1524.9404689994262,49.574793143195386,11.017487732909055,0.0,False
2,9,1546.269078167271,1977.9509855790825,49.5788273269928,11.019832736451894,0.0,False
2,10,1789.4800263226186,2028.4482530651267,49.579222504287316,11.02321373540069,2.893617021276596,False
3,1,1257.453071077971,1759.4933800839317,49.5769332177535,11.01575911857172,14.180851063829788,True
3,2,1100.188286895014,1387.3146472027147,49.57362550276348,11.013447421084114,26.03191489361702,True
3,3,1436.8041054287244,1656.590719887274,49.5759649882771,11.01820027425672,3.3191489361702122,False
3,4,1449.5583866348518,1608.2498870931436,49.575527370567436,11.018358655879178,10.829787234042554,False
3,5,1392.0045321914604,1349.2248332412435,49.57321283631717,11.017467047688452,25.563829787234045,False
3,6,1400.1130546395577,1281.2736242648157,49.57260005897848,11.017553942036157,1.9574468085106382,False
3,7,1466.0068753435648,1831.3085261110814,49.57752850578819,11.018668766725614,0.9787234042553191,False
3,8,1364.4940290517975,1669.8795725865436,49.57610187637776,11.017205617918407,8.627659574468085,False
3,9,1271.3132745450143,1558.6397736028105,49.57512437776426,11.015876320865823,21.30851063829787,False
3,10,1780.1135070954872,1595.7540177853411,49.57533523667262,11.022923402357007,3.5000000000000004,False
4,1,1100.188286895014,1387.3146472027147,49.57362550276348,11.013447421084114,26.03191489361702,True
4,2,1100.6733297863063,1462.7094778922774,49.57430312215252,11.013482017155685,0.0,False
4,3,1288.678681129657,1273.801571450838,49.57255974314088,11.016010860886785,0.0,False
4,4,1425.5320024226853,1283.291422898801,49.572612069353895,11.017906045917654,0.0,False
4,5,1357.6867255596567,1460.41456034389,49.57422060746583,11.01703388567203,25.72340425531915,False
4,6,1201.9031575449865,1571.2146798887507,49.57525412983965,11.014921497344979,19.695744680851064,False
4,7,1062.6036815062178,1292.3476877968155,49.572780869803886,11.012892770742793,0.0,False
4,8,1174.869119800832,1753.2203643109397,49.576896713879556,11.01461516873803,0.1702127659574468,False
4,9,1079.0631915843378,1441.4129984988642,49.574116883162226,11.013175420434832,18.20212765957447,False
4,10,1084.517497525451,1519.7492987794192,49.574819748611546,11.013279792763779,0.0,False
5,1,1100.188286895014,1387.3146472027147,49.57362550276348,11.013447421084114,26.03191489361702,True
5,2,1183.528202611681,1601.2450898162288,49.57552850117117,11.014678610106674,0.0,False
5,3,1101.3889423808475,1395.8374345242744,49.573701826612385,11.013467170510392,25.553191489361705,False
5,4,1371.55278984501,1515.6167702333307,49.5747134858238,11.017246016998836,21.851063829787236,False
5,5,1161.6062957289876,1621.5249628901572,49.57571607668991,11.014383079825215,0.5212765957446809,False
5,6,1188.3975006828043,1409.712039584139,49.57380560960453,11.01467501991216,27.25531914893617,True
5,7,1022.6854379456672,1281.9792515527129,49.57269726517481,11.012337159821378,1.3936170212765957,False
5,8,1256.501372320031,1377.919663944051,49.57350342580279,11.015604643150182,26.595744680851062,False
5,9,983.3860939390612,1466.7834435919638,49.57436794867212,11.011862247135749,11.404255319148936,False
5,10,1160.0745432419174,1445.22439242381,49.57413165271125,11.014296655382001,22.19148936170213,False
