AgentID,Step,Temp,X,Y,Lat,Lon,PDR,IsBest
Agent_1,1,10.0,438.5846482925405,1461.9480265496725,49.57445519726097,11.00432956973826,2.998936170212766,False
Agent_1,2,10.0,371.8325366108287,1447.751790533751,49.57434356651466,11.00340161376276,9.75531914893617,True
Agent_1,3,10.0,377.0344214283567,1443.9097127483626,49.574307784058604,11.0034721062107,9.563829787234042,False
Agent_1,4,8.5,422.09978470221677,1432.2391863465061,49.57419208587549,11.00409075618666,9.563829787234042,False
Agent_1,5,8.5,423.35255558219296,1429.0407622972946,49.57416303459089,11.004106895713157,9.51063829787234,False
Agent_1,6,8.5,410.448363343914,1430.9940614493198,49.57418368303477,11.00392923826171,9.914893617021276,True
Agent_1,7,7.225,446.45629923989236,1416.9271652647117,49.57404861021723,11.004421801063764,8.329787234042554,False
Agent_1,8,7.225,422.47552022448366,1393.7778894001765,49.57384625923024,11.004081787994192,10.117021276595745,True
Agent_1,9,7.225,414.6929729459102,1374.3255130344453,49.573673261196106,11.003967047166674,9.931914893617021,False
Agent_1,10,6.141249999999999,414.6929729459102,1374.3255130344453,49.573673261196106,11.003967047166674,9.931914893617021,False
Agent_1,11,6.141249999999999,434.1354551151063,1360.7431321961196,49.573546510785995,11.004230799331632,10.095744680851064,False
Agent_1,12,6.141249999999999,448.12867918648544,1369.5217527848108,49.57362207256414,11.00442746025075,5.659574468085107,False
Agent_1,13,5.220062499999999,424.3156231380753,1386.4031030358753,49.573779525109664,11.004104508339148,9.77659574468085,False
Agent_1,14,5.220062499999999,424.3156231380753,1386.4031030358753,49.573779525109664,11.004104508339148,9.77659574468085,False
Agent_1,15,5.220062499999999,422.0452778830117,1382.7690300386548,49.5737474012985,11.004071787156837,9.542553191489361,False
Agent_1,16,4.437053124999999,408.01443777472196,1401.8764512130597,49.573922521449504,11.003884873213273,10.180851063829788,True
Agent_1,17,4.437053124999999,409.4474486040638,1412.3391433325598,49.57401622969419,11.003908534013929,10.351063829787234,True
Agent_1,18,4.437053124999999,417.84306621928556,1436.6242366645918,49.574232523280244,11.004033529489838,9.659574468085106,False
