ID,Rel_X,Rel_Y,Lat,Lon,PDR
Grid_1,0.0,0.0,49.561418251216196,10.997730331694145,0.0
Grid_2,0.0,150.0,49.56276664071728,10.99778536643211,0.0
Grid_3,0.0,300.0,49.564115029857405,10.997840405305027,0.0
Grid_4,0.0,450.0,49.56546341863656,10.997895448313297,0.0
Grid_5,0.0,600.0,49.56681180705475,10.997950495457323,0.06999999999999999
Grid_6,0.0,750.0,49.56816019511195,10.998005546737502,0.18
Grid_7,0.0,900.0,49.56950858280819,10.998060602154244,0.5
Grid_8,0.0,1050.0,49.570856970143446,10.998115661707946,3.46
Grid_9,0.0,1200.0,49.572205357117745,10.998170725399014,0.8200000000000001
Grid_10,0.0,1350.0,49.573553743731054,10.998225793227844,1.37
Grid_11,0.0,1500.0,49.57490212998338,10.998280865194845,0.86
Grid_12,0.0,1650.0,49.57625051587472,10.998335941300414,0.25
Grid_13,0.0,1800.0,49.57759890140508,10.998391021544958,0.19
Grid_14,0.0,1950.0,49.57894728657445,10.998446105928876,0.0
Grid_15,0.0,2100.0,49.58029567138283,10.998501194452574,0.0
Grid_16,0.0,2250.0,49.581644055830225,10.99855628711645,0.0
Grid_17,0.0,2400.0,49.5829924399166,10.99861138392091,0.0
Grid_18,0.0,2550.0,49.584340823641995,10.998666484866355,0.0
Grid_19,0.0,2700.0,49.58568920700638,10.99872158995319,0.0
Grid_20,0.0,2850.0,49.587037590009786,10.998776699181816,0.0
Grid_21,150.0,0.0,49.56138243546394,10.999803270859788,0.0
Grid_22,150.0,150.0,49.5627308232688,10.999858362611649,0.0
Grid_23,150.0,300.0,49.56407921071261,10.999913458502736,0.0
Grid_24,150.0,450.0,49.56542759779535,10.999968558533451,0.08
Grid_25,150.0,600.0,49.566775984517044,11.000023662704201,0.02
Grid_26,150.0,750.0,49.568124370877655,11.000078771015383,0.0
Grid_27,150.0,900.0,49.56947275687721,11.000133883467404,0.32
Grid_28,150.0,1050.0,49.57082114251569,11.000189000060661,0.0
Grid_29,150.0,1200.0,49.57216952779311,11.000244120795562,0.29
Grid_30,150.0,1350.0,49.573517912709455,11.000299245672508,1.18
Grid_31,150.0,1500.0,49.574866297264734,11.000354374691902,1.15
Grid_32,150.0,1650.0,49.576214681458914,11.000409507854144,0.0
Grid_33,150.0,1800.0,49.57756306529204,11.00046464515964,0.04
Grid_34,150.0,1950.0,49.578911448764075,11.000519786608793,0.0
Grid_35,150.0,2100.0,49.58025983187502,11.000574932202005,0.01
Grid_36,150.0,2250.0,49.581608214624886,11.000630081939676,0.0
Grid_37,150.0,2400.0,49.58295659701366,11.000685235822214,0.0
Grid_38,150.0,2550.0,49.58430497904135,11.00074039385002,0.0
Grid_39,150.0,2700.0,49.585653360707944,11.000795556023496,0.0
Grid_40,150.0,2850.0,49.58700174201345,11.000850722343047,0.0
Grid_41,300.0,0.0,49.56134658260079,11.001876205886608,0.0
Grid_42,300.0,150.0,49.56269496870768,11.00193135465196,0.0
Grid_43,300.0,300.0,49.56404335445342,11.001986507560815,0.02
Grid_44,300.0,450.0,49.565391739838006,11.002041664613577,0.11
Grid_45,300.0,600.0,49.56674012486143,11.002096825810646,0.12
Grid_46,300.0,750.0,49.568088509523704,11.002151991152425,0.0
Grid_47,300.0,900.0,49.56943689382482,11.002207160639323,1.11
Grid_48,300.0,1050.0,49.57078527776476,11.002262334271734,0.42
Grid_49,300.0,1200.0,49.572133661343564,11.00231751205007,3.47
Grid_50,300.0,1350.0,49.57348204456119,11.002372693974726,1.0
Grid_51,300.0,1500.0,49.57483042741765,11.00242788004611,1.78
Grid_52,300.0,1650.0,49.57617880991293,11.002483070264622,6.890000000000001
Grid_53,300.0,1800.0,49.57752719204704,11.002538264630667,0.12
Grid_54,300.0,1950.0,49.57887557381999,11.00259346314465,0.0
Grid_55,300.0,2100.0,49.58022395523175,11.002648665806973,0.0
Grid_56,300.0,2250.0,49.58157233628234,11.002703872618039,0.0
Grid_57,300.0,2400.0,49.582920716971735,11.00275908357825,0.0
Grid_58,300.0,2550.0,49.58426909729996,11.002814298688012,0.0
Grid_59,300.0,2700.0,49.585617477267,11.002869517947728,0.0
Grid_60,300.0,2850.0,49.58696585687285,11.002924741357802,0.0
Grid_61,450.0,0.0,49.56131069262695,11.003949136770327,0.0
Grid_62,450.0,150.0,49.56265907703411,11.004004342548768,0.0
Grid_63,450.0,300.0,49.564007461080024,11.004059552474988,0.35000000000000003
Grid_64,450.0,450.0,49.565355844764696,11.004114766549392,0.41000000000000003
Grid_65,450.0,600.0,49.56670422808811,11.004169984772378,0.27
Grid_66,450.0,750.0,49.56805261105028,11.004225207144355,0.05
Grid_67,450.0,900.0,49.5694009936512,11.004280433665723,0.31
Grid_68,450.0,1050.0,49.57074937589085,11.004335664336887,0.73
Grid_69,450.0,1200.0,49.572097757769264,11.004390899158249,10.89
Grid_70,450.0,1350.0,49.57344613928641,11.004446138130215,9.47
Grid_71,450.0,1500.0,49.5747945204423,11.004501381253185,0.58
Grid_72,450.0,1650.0,49.57614290123693,11.004556628527565,0.0
Grid_73,450.0,1800.0,49.57749128167029,11.004611879953758,0.03
Grid_74,450.0,1950.0,49.578839661742386,11.004667135532168,0.1
Grid_75,450.0,2100.0,49.580188041453205,11.004722395263197,0.0
Grid_76,450.0,2250.0,49.581536420802756,11.004777659147253,0.0
Grid_77,450.0,2400.0,49.58288479979103,11.004832927184736,0.0
Grid_78,450.0,2550.0,49.58423317841804,11.004888199376053,0.0
Grid_79,450.0,2700.0,49.58558155668376,11.004943475721603,0.0
Grid_80,450.0,2850.0,49.586929934588206,11.004998756221795,0.0
Grid_81,600.0,0.0,49.561274765542585,11.00602206350667,0.0
Grid_82,600.0,150.0,49.562623148248264,11.006077326297799,0.06
Grid_83,600.0,300.0,49.563971530592596,11.00613259324098,0.69
Grid_84,600.0,450.0,49.56531991257559,11.00618786433662,1.28
Grid_85,600.0,600.0,49.56666829419724,11.006243139585123,0.27
Grid_86,600.0,750.0,49.56801667545756,11.006298418986892,0.0
Grid_87,600.0,900.0,49.56936505635652,11.00635370254233,0.15
Grid_88,600.0,1050.0,49.57071343689414,11.00640899025184,0.27999999999999997
Grid_89,600.0,1200.0,49.57206181707041,11.006464282115829,1.03
Grid_90,600.0,1350.0,49.57341019688533,11.006519578134698,0.18
Grid_91,600.0,1500.0,49.5747585763389,11.006574878308852,0.16999999999999998
Grid_92,600.0,1650.0,49.576106955431094,11.006630182638695,0.02
Grid_93,600.0,1800.0,49.57745533416195,11.006685491124632,0.05
Grid_94,600.0,1950.0,49.57880371253144,11.006740803767064,0.49
Grid_95,600.0,2100.0,49.58015209053957,11.006796120566399,0.0
Grid_96,600.0,2250.0,49.58150046818633,11.00685144152304,0.0
Grid_97,600.0,2400.0,49.58284884547171,11.00690676663739,0.0
Grid_98,600.0,2550.0,49.58419722239574,11.006962095909856,0.0
Grid_99,600.0,2700.0,49.58554559895839,11.007017429340838,0.0
Grid_100,600.0,2850.0,49.586893975159676,11.007072766930744,0.0
Grid_101,750.0,0.0,49.56123880134789,11.008094986091363,0.0
Grid_102,750.0,150.0,49.56258718235032,11.008150305894773,0.11
Grid_103,750.0,300.0,49.563935562991325,11.008205629854514,1.3
Grid_104,750.0,450.0,49.565283943270884,11.00826095797099,3.3300000000000005
Grid_105,750.0,600.0,49.56663232318902,11.008316290244602,1.9900000000000002
Grid_106,750.0,750.0,49.567980702745714,11.008371626675759,0.09
Grid_107,750.0,900.0,49.56932908194098,11.008426967264864,0.7100000000000001
Grid_108,750.0,1050.0,49.570677460774796,11.008482312012317,1.6
Grid_109,750.0,1200.0,49.57202583924716,11.008537660918527,1.15
Grid_110,750.0,1350.0,49.57337421735811,11.008593013983898,19.88
Grid_111,750.0,1500.0,49.57472259510759,11.008648371208832,3.5900000000000003
Grid_112,750.0,1650.0,49.57607097249562,11.008703732593734,1.21
Grid_113,750.0,1800.0,49.57741934952221,11.008759098139008,0.02
Grid_114,750.0,1950.0,49.57876772618734,11.00881446784506,0.04
Grid_115,750.0,2100.0,49.580116102491,11.008869841712295,0.0
Grid_116,750.0,2250.0,49.58146447843322,11.008925219741117,0.0
Grid_117,750.0,2400.0,49.58281285401397,11.00898060193193,0.0
Grid_118,750.0,2550.0,49.58416122923325,11.009035988285138,0.0
Grid_119,750.0,2700.0,49.58550960409107,11.009091378801148,0.0
Grid_120,750.0,2850.0,49.58685797858744,11.009146773480365,0.0
Grid_121,900.0,0.0,49.56120280004303,11.010167904520129,0.0
Grid_122,900.0,150.0,49.56255117934046,11.010223281335419,0.16999999999999998
Grid_123,900.0,300.0,49.56389955827638,11.010278662311313,2.65
Grid_124,900.0,450.0,49.56524793685076,11.010334047448218,3.9899999999999998
Grid_125,900.0,600.0,49.56659631506362,11.010389436746541,4.97
Grid_126,900.0,750.0,49.56794469291494,11.01044483020668,6.79
Grid_127,900.0,900.0,49.56929307040475,11.010500227829045,1.24
Grid_128,900.0,1050.0,49.570641447533,11.01055562961404,0.6
Grid_129,900.0,1200.0,49.57198982429973,11.010611035562066,0.9900000000000001
Grid_130,900.0,1350.0,49.573338200704924,11.010666445673532,23.32
Grid_131,900.0,1500.0,49.57468657674856,11.01072185994884,8.36
Grid_132,900.0,1650.0,49.57603495243067,11.010777278388398,0.0
Grid_133,900.0,1800.0,49.57738332775123,11.010832700992605,0.02
Grid_134,900.0,1950.0,49.57873170271024,11.010888127761874,0.03
Grid_135,900.0,2100.0,49.5800800773077,11.010943558696605,0.0
Grid_136,900.0,2250.0,49.58142845154361,11.010998993797202,0.0
Grid_137,900.0,2400.0,49.582776825417966,11.011054433064073,0.0
Grid_138,900.0,2550.0,49.58412519893077,11.011109876497622,0.0
Grid_139,900.0,2700.0,49.58547357208201,11.011165324098254,0.0
Grid_140,900.0,2850.0,49.58682194487169,11.011220775866377,0.0
Grid_141,1050.0,0.0,49.56116676162819,11.012240818788694,0.0
Grid_142,1050.0,150.0,49.56251513921888,11.012296252615457,0.0
Grid_143,1050.0,300.0,49.563863516447945,11.012351690607103,2.35
Grid_144,1050.0,450.0,49.56521189331539,11.012407132764034,3.94
Grid_145,1050.0,600.0,49.56656026982121,11.012462579086657,4.95
Grid_146,1050.0,750.0,49.56790864596542,11.012518029575377,7.7700000000000005
Grid_147,1050.0,900.0,49.569257021747994,11.012573484230598,9.76
Grid_148,1050.0,1050.0,49.57060539716895,11.012628943052727,10.27
Grid_149,1050.0,1200.0,49.57195377222827,11.012684406042165,1.7999999999999998
Grid_150,1050.0,1350.0,49.573302146925954,11.012739873199324,20.810000000000002
Grid_151,1050.0,1500.0,49.57465052126201,11.012795344524601,12.98
Grid_152,1050.0,1650.0,49.575998895236424,11.012850820018407,0.04
Grid_153,1050.0,1800.0,49.5773472688492,11.012906299681147,0.0
Grid_154,1050.0,1950.0,49.57869564210036,11.012961783513223,0.15
Grid_155,1050.0,2100.0,49.58004401498984,11.013017271515045,0.31
Grid_156,1050.0,2250.0,49.58139238751769,11.013072763687013,0.0
Grid_157,1050.0,2400.0,49.582740759683894,11.013128260029537,0.0
Grid_158,1050.0,2550.0,49.58408913148845,11.01318376054302,0.0
Grid_159,1050.0,2700.0,49.58543750293135,11.013239265227872,0.0
Grid_160,1050.0,2850.0,49.5867858740126,11.01329477408449,0.0
Grid_161,1200.0,0.0,49.56113068610355,11.014313728892782,0.0
Grid_162,1200.0,150.0,49.56247906198574,11.014369219730613,0.0
Grid_163,1200.0,300.0,49.5638274375062,11.014424714737604,0.89
Grid_164,1200.0,450.0,49.565175812664954,11.014480213914156,2.93
Grid_165,1200.0,600.0,49.566524187461994,11.014535717260678,1.32
Grid_166,1200.0,750.0,49.56787256189732,11.014591224777572,2.34
Grid_167,1200.0,900.0,49.569220935970925,11.014646736465245,5.489999999999999
Grid_168,1200.0,1050.0,49.5705693096828,11.014702252324103,4.6
Grid_169,1200.0,1200.0,49.571917683032964,11.01475777235455,15.740000000000002
Grid_170,1200.0,1350.0,49.573266056021396,11.014813296556992,21.55
Grid_171,1200.0,1500.0,49.57461442864811,11.014868824931836,20.89
Grid_172,1200.0,1650.0,49.575962800913075,11.014924357479487,1.46
Grid_173,1200.0,1800.0,49.57731117281633,11.01497989420035,2.21
Grid_174,1200.0,1950.0,49.57865954435784,11.01503543509483,1.77
Grid_175,1200.0,2100.0,49.5800079155376,11.015090980163336,1.04
Grid_176,1200.0,2250.0,49.58135628635563,11.015146529406271,0.26
Grid_177,1200.0,2400.0,49.58270465681193,11.015202082824041,0.0
Grid_178,1200.0,2550.0,49.58405302690648,11.015257640417055,0.0
Grid_179,1200.0,2700.0,49.58540139663929,11.015313202185716,0.0
Grid_180,1200.0,2850.0,49.586749766010335,11.01536876813043,0.0
Grid_181,1350.0,0.0,49.56109457346929,11.016386634828116,0.0
Grid_182,1350.0,150.0,49.56244294764121,11.016442182676613,0.0
Grid_183,1350.0,300.0,49.563791321451326,11.016497734698543,0.3
Grid_184,1350.0,450.0,49.56513969489963,11.016553290894311,0.8699999999999999
Grid_185,1350.0,600.0,49.56648806798613,11.016608851264325,1.9
Grid_186,1350.0,750.0,49.56783644071083,11.016664415808988,1.9800000000000002
Grid_187,1350.0,900.0,49.5691848130737,11.016719984528708,0.3
Grid_188,1350.0,1050.0,49.570533185074744,11.01677555742389,12.68
Grid_189,1350.0,1200.0,49.571881556714004,11.016831134494938,11.63
Grid_190,1350.0,1350.0,49.57322992799142,11.016886715742261,25.019999999999996
Grid_191,1350.0,1500.0,49.57457829890703,11.016942301166264,21.38
Grid_192,1350.0,1650.0,49.5759266694608,11.016997890767353,11.99
Grid_193,1350.0,1800.0,49.57727503965276,11.017053484545935,0.0
Grid_194,1350.0,1950.0,49.57862340948289,11.017109082502413,0.5
Grid_195,1350.0,2100.0,49.57997177895117,11.017164684637198,0.03
Grid_196,1350.0,2250.0,49.581320148057635,11.017220290950691,0.13999999999999999
Grid_197,1350.0,2400.0,49.58266851680226,11.017275901443305,0.0
Grid_198,1350.0,2550.0,49.584016885185044,11.01733151611544,0.0
Grid_199,1350.0,2700.0,49.58536525320599,11.017387134967507,0.0
Grid_200,1350.0,2850.0,49.586713620865105,11.01744275799991,0.0
Grid_201,1500.0,0.0,49.5610584237256,11.018459536590422,0.0
Grid_202,1500.0,150.0,49.56240679618551,11.018515141449178,0.0
Grid_203,1500.0,300.0,49.563755168283514,11.018570750485642,0.98
Grid_204,1500.0,450.0,49.565103540019614,11.018626363700221,2.13
Grid_205,1500.0,600.0,49.56645191139382,11.018681981093321,2.2399999999999998
Grid_206,1500.0,750.0,49.56780028240611,11.018737602665347,2.36
Grid_207,1500.0,900.0,49.5691486530565,11.018793228416708,0.75
Grid_208,1500.0,1050.0,49.570497023344984,11.018848858347807,1.51
Grid_209,1500.0,1200.0,49.57184539327155,11.018904492459052,1.8599999999999999
Grid_210,1500.0,1350.0,49.573193762836226,11.018960130750848,18.37
Grid_211,1500.0,1500.0,49.57454213203896,11.019015773223606,18.5
Grid_212,1500.0,1650.0,49.57589050087978,11.019071419877728,10.6
Grid_213,1500.0,1800.0,49.57723886935869,11.019127070713619,0.86
Grid_214,1500.0,1950.0,49.578587237475666,11.019182725731692,1.4000000000000001
Grid_215,1500.0,2100.0,49.579935605230716,11.019238384932349,1.4200000000000002
Grid_216,1500.0,2250.0,49.58128397262386,11.019294048315997,0.09
Grid_217,1500.0,2400.0,49.58263233965507,11.019349715883044,0.0
Grid_218,1500.0,2550.0,49.58398070632433,11.019405387633897,0.0
Grid_219,1500.0,2700.0,49.58532907263167,11.019461063568961,0.0
Grid_220,1500.0,2850.0,49.586677438577084,11.019516743688646,0.0
Grid_221,1650.0,0.0,49.56102223687266,11.020532434175426,0.0
Grid_222,1650.0,150.0,49.56237060761879,11.020588096044035,0.2
Grid_223,1650.0,300.0,49.563718978002925,11.020643762094627,1.06
Grid_224,1650.0,450.0,49.565067348025075,11.020699432327612,2.1399999999999997
Grid_225,1650.0,600.0,49.56641571768522,11.02075510674339,1.5699999999999998
Grid_226,1650.0,750.0,49.567764086983374,11.020810785342375,1.08
Grid_227,1650.0,900.0,49.56911245591952,11.020866468124968,0.44999999999999996
Grid_228,1650.0,1050.0,49.570460824493665,11.020922155091581,2.18
Grid_229,1650.0,1200.0,49.571809192705814,11.020977846242614,8.55
Grid_230,1650.0,1350.0,49.57315756055595,11.021033541578479,4.24
Grid_231,1650.0,1500.0,49.57450592804408,11.021089241099583,14.642
Grid_232,1650.0,1650.0,49.57585429517019,11.02114494480633,11.020000000000001
Grid_233,1650.0,1800.0,49.5772026619343,11.021200652699129,2.01
Grid_234,1650.0,1950.0,49.578551028336385,11.021256364778386,2.17
Grid_235,1650.0,2100.0,49.57989939437645,11.021312081044508,2.3
Grid_236,1650.0,2250.0,49.58124776005449,11.021367801497902,1.49
Grid_237,1650.0,2400.0,49.58259612537052,11.021423526138978,0.05
Grid_238,1650.0,2550.0,49.58394449032451,11.021479254968138,0.0
Grid_239,1650.0,2700.0,49.58529285491649,11.021534987985795,0.0
Grid_240,1650.0,2850.0,49.586641219146436,11.021590725192354,0.0
Grid_241,1800.0,0.0,49.56098601291063,11.022605327578853,0.0
Grid_242,1800.0,150.0,49.56233438194124,11.022661046456909,0.11
Grid_243,1800.0,300.0,49.563682750609765,11.022716769521223,1.09
Grid_244,1800.0,450.0,49.565031118916195,11.022772496772204,1.16
Grid_245,1800.0,600.0,49.56637948686054,11.022828228210257,1.35
Grid_246,1800.0,750.0,49.56772785444278,11.022883963835792,0.73
Grid_247,1800.0,900.0,49.56907622166293,11.022939703649213,0.3
Grid_248,1800.0,1050.0,49.570424588520986,11.02299544765093,0.86
Grid_249,1800.0,1200.0,49.57177295501695,11.023051195841346,1.4200000000000002
Grid_250,1800.0,1350.0,49.57312132115081,11.023106948220873,1.58
Grid_251,1800.0,1500.0,49.574469686922576,11.023162704789915,0.44999999999999996
Grid_252,1800.0,1650.0,49.575818052332224,11.02321846554888,2.8899999999999997
Grid_253,1800.0,1800.0,49.57716641737976,11.023274230498178,3.6799999999999997
Grid_254,1800.0,1950.0,49.5785147820652,11.023329999638213,2.79
Grid_255,1800.0,2100.0,49.57986314638852,11.023385772969394,2.65
Grid_256,1800.0,2250.0,49.58121151034972,11.023441550492128,2.22
Grid_257,1800.0,2400.0,49.58255987394881,11.023497332206825,1.0
Grid_258,1800.0,2550.0,49.583908237185774,11.023553118113888,0.0
Grid_259,1800.0,2700.0,49.58525660006063,11.02360890821373,0.0
Grid_260,1800.0,2850.0,49.58660496257336,11.023664702506753,0.0
Grid_261,1950.0,0.0,49.56094975183972,11.02467821679643,0.0
Grid_262,1950.0,150.0,49.562298119153034,11.024733992683524,0.03
Grid_263,1950.0,300.0,49.5636464861042,11.024789772761153,1.25
Grid_264,1950.0,450.0,49.564994852693154,11.024845557029723,1.54
Grid_265,1950.0,600.0,49.56634321891993,11.024901345489642,0.66
Grid_266,1950.0,750.0,49.56769158478451,11.024957138141321,0.09
Grid_267,1950.0,900.0,49.56903995028693,11.025012934985162,0.16999999999999998
Grid_268,1950.0,1050.0,49.57038831542714,11.025068736021575,0.13
Grid_269,1950.0,1200.0,49.57173668020516,11.025124541250968,0.22
Grid_270,1950.0,1350.0,49.57308504462099,11.025180350673748,2.18
Grid_271,1950.0,1500.0,49.574433408674615,11.025236164290323,0.79
Grid_272,1950.0,1650.0,49.57578177236605,11.0252919821011,0.44999999999999996
Grid_273,1950.0,1800.0,49.57713013569528,11.025347804106488,0.0
