AgentID,Step,Temp,StepLimit,X,Y,Lat,Lon,PDR,Accepted,IsBest
Agent_1,1,10.0,150.0,2087.808155305187,2120.882739390906,49.57998120908456,11.027372377788499,3.021276595744681,True,True
Agent_1,2,10.0,150.0,2136.4837725037764,2107.4722298619267,49.57984886729846,11.02804030042245,2.9893617021276597,True,False
Agent_1,3,10.0,150.0,2240.849006115157,2180.056310661592,49.58047602982621,11.02951017346231,3.393617021276596,True,True
Agent_1,4,10.0,150.0,2144.594636102427,2106.6202339170695,49.579839243065535,11.028152111948046,3.0,True,False
Agent_1,5,10.0,150.0,2002.3925784225141,2073.6801926456214,49.57957758788142,11.026173965259495,3.0531914893617023,True,False
Agent_1,6,10.0,150.0,1942.5540819347707,2130.91832378264,49.58010659069979,11.025368031894644,3.0106382978723407,True,False
Agent_1,7,10.0,150.0,1847.5116341464916,2043.3166359314098,49.579342125379874,11.024021518585894,3.1063829787234045,True,False
Agent_1,8,10.0,150.0,1754.0642762781747,1993.9499018269112,49.578920956056805,11.022711309958346,2.8191489361702127,True,False
Agent_1,9,10.0,150.0,1760.072982630455,2036.9402123773364,49.57930594790825,11.022810356667588,2.872340425531915,True,False
Agent_1,10,10.0,150.0,1790.694375190869,2053.7223828283827,49.57944940228941,11.023239920030505,2.851063829787234,True,False
Agent_1,11,3.981,62.71577157715771,1783.7231641254755,2092.9755995177184,49.57980393852762,11.0231581405863,2.797872340425532,True,False
Agent_1,12,3.981,62.71577157715771,1774.7177441633378,2102.5435728936714,49.579892122951236,11.023037201494429,2.797872340425532,True,False
Agent_1,13,3.981,62.71577157715771,1812.1829471031606,2086.791305799404,49.57974146652263,11.023549285449992,2.851063829787234,True,False
Agent_1,14,3.981,62.71577157715771,1803.8757256403164,2079.9950315733154,49.57968238277009,11.023431914589887,2.851063829787234,True,False
Agent_1,15,3.981,62.71577157715771,1816.1948032028026,2100.356209220473,49.57986243263848,11.023609792069067,2.872340425531915,True,False
Agent_1,16,3.981,62.71577157715771,1856.2459510240337,2097.715958509218,49.57982901334435,11.024162500770785,3.0531914893617023,True,False
