Step,Temp,X,Y,Lat,Lon,PDR,Accepted,IsBest
1,10.0,2433.1215326336383,2319.9590201056594,49.581686962701205,11.032220533251921,2.9574468085106385,True,False
2,10.0,2407.491502447936,2210.556096534836,49.580709758305076,11.031825345123238,3.2978723404255317,True,True
3,10.0,2323.1323757913533,2185.749850493362,49.580507249170665,11.03064984205494,3.4680851063829787,True,True
4,8.5,2372.2902992400423,2194.9382603323447,49.580577914222715,11.031332866369082,3.4255319148936167,True,False
5,8.5,2243.018664820351,2070.477793284169,49.57949049578905,11.0294992994859,2.8085106382978724,True,False
6,8.5,2326.26410220356,2139.9429444906527,49.58009472855186,11.030676042946766,3.4255319148936167,True,False
7,7.225,2209.1002488048084,2289.6346793600533,49.58146873503098,11.029112117359071,3.0106382978723407,True,False
8,7.225,2214.6329935399863,2347.918523347729,49.58199131041515,11.029210343288801,2.648936170212766,True,False
9,7.225,2211.6732825782865,2363.476358477062,49.582131878372635,11.029175226792438,2.5425531914893615,True,False
10,6.141249999999999,2303.7653898839317,2236.315280967308,49.5809664835849,11.03040096660014,3.3723404255319145,True,False
11,6.141249999999999,2395.6544566189973,2203.491234621005,49.58064912570741,11.03165906293712,3.351063829787234,True,False
12,6.141249999999999,2255.2643203168145,2200.9334686123857,49.580660199770485,11.029717248462719,3.404255319148936,True,False
13,5.220062499999999,2356.302015355118,2303.9418244559715,49.58156163324313,11.031152520904062,3.1063829787234045,True,False
14,5.220062499999999,2291.5555565406003,2272.2597209248297,49.581292552317095,11.030245578757022,3.2021276595744683,True,False
15,5.220062499999999,2169.0155341394134,2150.3414266580744,49.58022633693085,11.028506018125958,3.2021276595744683,True,False
16,4.437053124999999,2172.4608474594015,2126.045956991181,49.58000710825111,11.028544591343143,3.1063829787234045,True,False
17,4.437053124999999,2141.6699332225517,1993.7247298199186,49.578825126376465,11.02806960382713,2.4361702127659575,True,False
18,4.437053124999999,2001.6521950064955,2075.6637253806803,49.5795955972675,11.02616446838741,3.0531914893617023,True,False
19,3.7714951562499994,2043.4115378354957,1979.4149142874885,49.57872029759902,11.026705923331559,2.882978723404255,True,False
20,3.7714951562499994,2086.737100568058,1907.6873325906731,49.578065039315454,11.02727814548609,1.8404255319148937,True,False
21,3.7714951562499994,2097.583314049552,1911.6161712473584,49.578097728503764,11.027429547865784,1.776595744680851,True,False
22,3.2057708828124993,2097.583314049552,1911.6161712473584,49.578097728503764,11.027429547865784,1.776595744680851,False,False
23,3.2057708828124993,2091.272459336435,1878.1512211992454,49.57779843834229,11.027329839272227,2.2340425531914896,True,False
24,3.2057708828124993,2091.272459336435,1878.1512211992454,49.57779843834229,11.027329839272227,2.2340425531914896,False,False
25,2.7249052503906244,2067.529662818567,1969.3588303616002,49.57862406154277,11.02703559240652,2.75531914893617,True,False
26,2.7249052503906244,2183.9234154812807,1959.327510655756,49.57850568659442,11.028640904190691,0.6170212765957447,True,False
27,2.7249052503906244,2089.1872456709166,1906.1623087335133,49.57805073724399,11.027311448310074,1.819148936170213,True,False
28,2.316169462832031,2110.4126488435404,1973.1814121612013,49.57864803486439,11.027629840259069,2.5212765957446805,True,False
29,2.316169462832031,2012.1077252051255,1997.9018997400826,49.57889405860881,11.026280055273284,3.0638297872340425,True,False
30,2.316169462832031,2026.9125490925812,1923.703676824809,49.57822350019331,11.02645709122616,2.8297872340425534,True,False
31,1.968744043407226,2135.996934559784,1989.6015636745585,49.57878943767292,11.027989642211184,2.425531914893617,True,False
32,1.968744043407226,2135.996934559784,1989.6015636745585,49.57878943767292,11.027989642211184,2.425531914893617,False,False
33,1.968744043407226,2194.3379393937794,2092.5687670360744,49.57970087638381,11.02883455167313,2.9680851063829787,True,False
34,1.6734324368961422,2153.58465737576,2178.3073129983427,49.58048146422717,11.028303115658083,3.223404255319149,True,False
35,1.6734324368961422,2097.5484075410595,2117.748946544627,49.579950679507796,11.027505865218957,3.021276595744681,True,False
36,1.6734324368961422,2234.777538194282,2219.2305336880577,49.58082964161103,11.029440847437868,3.3829787234042556,True,False
37,1.4224175713617209,2230.9788932853908,2325.2901254276007,49.581783938665325,11.029427887993048,2.8191489361702127,True,False
38,1.4224175713617209,2206.40270455551,2399.6477397179938,49.5824583030101,11.02911584906008,2.382978723404255,True,False
39,1.4224175713617209,2072.259040592818,2329.586308141725,49.58186102700811,11.027235170035102,2.574468085106383,True,False
40,1.2090549356574627,2039.7983068158153,2305.86499542128,49.58165565695516,11.026777560225172,2.627659574468085,True,False
41,1.2090549356574627,2175.9205614564075,2317.8334257079687,49.581730259379,11.028663921234465,2.797872340425532,True,False
42,1.2090549356574627,2080.8961444588745,2324.184433197651,49.58181037683316,11.027352566425801,2.617021276595745,True,False
43,1.0276966953088433,2222.0956166716696,2289.3441645231196,49.58146297249248,11.029291670004751,3.0,True,False
44,1.0276966953088433,2281.01860343143,2355.6456851170205,49.58204466944526,11.030131016943203,2.723404255319149,True,False
