Run,Step,Max_PDR,Avg_PDR
1,1,26.74468085106383,25.836879432624116
1,2,27.127659574468083,23.343971631205676
1,3,27.127659574468083,25.741134751773046
1,4,26.606382978723403,25.517730496453897
1,5,26.80851063829787,25.102836879432626
1,6,26.54255319148936,24.819148936170212
1,7,28.23404255319149,25.599290780141843
1,8,28.425531914893615,26.382978723404253
1,9,28.382978723404257,26.117021276595747
1,10,28.382978723404257,26.117021276595747
1,11,27.319148936170212,25.393617021276597
1,12,27.265957446808507,25.27304964539007
1,13,27.73404255319149,24.861702127659573
1,14,27.287234042553195,24.407801418439718
1,15,23.414893617021278,22.822695035460995
1,16,23.414893617021278,21.794326241134755
1,17,23.117021276595747,22.52836879432624
1,18,25.72340425531915,23.613475177304963
1,19,25.72340425531915,23.73758865248227
1,20,27.595744680851062,24.365248226950357
1,21,27.202127659574465,23.9645390070922
1,22,27.180851063829785,24.343971631205676
1,23,25.80851063829787,23.758865248226954
1,24,23.904255319148938,23.329432624113476
1,25,24.0531914893617,23.599290780141843
1,26,25.319148936170212,24.265602836879435
1,27,26.52127659574468,24.741134751773046
1,28,26.4468085106383,25.22340425531915
1,29,27.24468085106383,24.843971631205676
1,30,26.925531914893618,24.31205673758865
1,31,26.553191489361698,24.4645390070922
1,32,26.659574468085108,25.113475177304963
1,33,26.670212765957444,25.241134751773046
1,34,27.54255319148936,25.425531914893615
1,35,26.904255319148934,24.900709219858157
1,36,26.904255319148934,24.886524822695037
1,37,26.904255319148934,24.968085106382983
1,38,27.840425531914892,25.28014184397163
1,39,25.70212765957447,24.712765957446805
1,40,25.542553191489365,24.69148936170213
1,41,25.53191489361702,24.67375886524822
1,42,26.659574468085108,25.046099290780138
1,43,26.28723404255319,24.861702127659573
1,44,26.52127659574468,24.829787234042556
1,45,26.52127659574468,24.875886524822693
1,46,26.319148936170212,24.836879432624116
1,47,26.574468085106385,25.145390070921987
1,48,26.265957446808514,25.0
1,49,26.563829787234045,25.177304964539008
1,50,26.79787234042553,25.27659574468085
1,51,27.276595744680854,25.44326241134752
1,52,27.276595744680854,25.414893617021278
1,53,27.287234042553195,25.407801418439718
1,54,27.287234042553195,25.26595744680851
1,55,27.287234042553195,25.287234042553195
1,56,27.297872340425535,25.37482269503546
1,57,27.297872340425535,25.3404255319149
2,1,26.20212765957447,25.890070921985814
2,2,25.819148936170212,25.29078014184397
2,3,25.085106382978722,24.595744680851066
2,4,26.085106382978722,24.510638297872344
2,5,24.78723404255319,23.25177304964539
2,6,24.425531914893618,23.04255319148936
2,7,22.53191489361702,20.400709219858154
2,8,23.0,22.347517730496453
2,9,23.180851063829788,22.81205673758865
2,10,23.180851063829788,22.634751773049647
2,11,23.27659574468085,22.75531914893617
2,12,22.28723404255319,20.872340425531917
2,13,22.329787234042552,20.680851063829788
2,14,22.595744680851062,21.18439716312057
2,15,23.54255319148936,22.590425531914892
2,16,23.54255319148936,22.560283687943258
2,17,23.393617021276597,22.673758865248228
2,18,24.28723404255319,23.074468085106385
2,19,25.468085106382976,24.212765957446805
2,20,24.70212765957447,23.49290780141844
2,21,25.29787234042553,23.80851063829787
2,22,25.819148936170212,23.9645390070922
2,23,26.053191489361705,24.546099290780145
2,24,26.085106382978722,25.30141843971631
2,25,26.106382978723403,24.98581560283688
2,26,26.03191489361702,25.183687943262413
2,27,26.02127659574468,25.12695035460993
2,28,25.755319148936167,24.5354609929078
2,29,25.664893617021278,24.50531914893617
2,30,25.71276595744681,24.50709219858156
2,31,25.654255319148938,24.47340425531915
2,32,25.622340425531913,24.398936170212764
2,33,25.595744680851062,24.166666666666668
2,34,25.585106382978722,24.482269503546103
