Run,Step,Max_PDR,Avg_PDR
1,1,1.0425531914893618,0.599290780141844
1,2,1.872340425531915,0.875886524822695
1,3,1.9042553191489362,0.8865248226950354
1,4,2.0106382978723403,0.9290780141843972
1,5,2.3297872340425534,1.1595744680851066
1,6,2.425531914893617,1.2056737588652482
1,7,2.5425531914893615,1.2446808510638296
1,8,2.5425531914893615,1.1063829787234043
1,9,2.170212765957447,0.9290780141843973
1,10,1.8297872340425532,0.8546099290780141
1,11,2.0106382978723403,0.9042553191489361
1,12,1.627659574468085,0.8049645390070922
1,13,1.978723404255319,0.8687943262411347
1,14,1.8829787234042554,0.8333333333333334
1,15,1.8829787234042554,0.8617021276595745
1,16,2.106382978723404,0.9432624113475176
1,17,2.170212765957447,1.1099290780141846
1,18,2.24468085106383,1.095744680851064
1,19,2.24468085106383,1.0815602836879432
1,20,2.25531914893617,1.0921985815602835
1,21,2.1914893617021276,1.0709219858156027
1,22,2.1808510638297873,1.0921985815602837
1,23,2.0531914893617023,1.049645390070922
1,24,2.2340425531914896,1.1560283687943265
1,25,2.2872340425531914,1.1702127659574468
1,26,2.223404255319149,1.1347517730496455
1,27,2.393617021276596,1.202127659574468
1,28,2.393617021276596,1.219858156028369
1,29,2.478723404255319,1.2872340425531914
1,30,2.606382978723404,1.3546099290780143
1,31,2.7127659574468086,1.4574468085106382
1,32,2.797872340425532,1.4219858156028369
1,33,2.872340425531915,1.4361702127659575
1,34,2.9148936170212765,1.4184397163120568
1,35,2.9361702127659575,1.4822695035460993
1,36,2.8617021276595747,1.4893617021276597
1,37,2.8191489361702127,1.4716312056737586
1,38,2.872340425531915,1.5354609929078016
1,39,2.851063829787234,1.574468085106383
1,40,2.882978723404255,1.5460992907801419
1,41,2.9787234042553195,1.5390070921985817
1,42,3.0,1.528368794326241
1,43,2.925531914893617,1.50354609929078
1,44,2.8191489361702127,1.4751773049645391
1,45,2.893617021276596,1.49645390070922
1,46,2.925531914893617,1.5106382978723405
1,47,2.893617021276596,1.5
1,48,2.8191489361702127,1.4574468085106382
1,49,2.7659574468085104,1.4326241134751772
1,50,2.702127659574468,1.404255319148936
1,51,2.702127659574468,1.4007092198581559
1,52,2.74468085106383,1.4113475177304966
1,53,2.7659574468085104,1.404255319148936
1,54,2.734042553191489,1.375886524822695
1,55,2.75531914893617,1.4007092198581559
1,56,2.723404255319149,1.3865248226950353
1,57,2.6808510638297873,1.3617021276595747
1,58,2.648936170212766,1.3439716312056735
1,59,2.627659574468085,1.3297872340425532
1,60,2.585106382978723,1.3262411347517729
1,61,2.595744680851064,1.3297872340425532
1,62,2.553191489361702,1.3226950354609928
1,63,2.553191489361702,1.3191489361702127
1,64,2.5106382978723403,1.3120567375886525
1,65,2.5106382978723403,1.3156028368794326
1,66,2.5319148936170213,1.326241134751773
1,67,2.5212765957446805,1.3226950354609928
1,68,2.5106382978723403,1.3226950354609928
1,69,2.5106382978723403,1.3226950354609928
1,70,2.5106382978723403,1.3226950354609928
1,71,2.5106382978723403,1.3085106382978724
1,72,2.5106382978723403,1.3085106382978724
1,73,2.5319148936170213,1.3156028368794326
1,74,2.5425531914893615,1.3333333333333333
1,75,2.5212765957446805,1.3226950354609928
2,1,0.9787234042553191,0.326241134751773
2,2,0.4468085106382979,0.14893617021276598
2,3,1.0212765957446808,0.3404255319148936
2,4,0.8617021276595745,0.2872340425531915
2,5,0.9255319148936171,0.30851063829787234
2,6,0.9042553191489361,0.30141843971631205
2,7,0.7872340425531915,0.2624113475177305
2,8,0.7553191489361702,0.2517730496453901
2,9,0.4468085106382979,0.14893617021276598
2,10,0.41489361702127653,0.1382978723404255
2,11,0.5957446808510638,0.19858156028368792
2,12,1.3404255319148937,0.4468085106382979
2,13,1.351063829787234,0.450354609929078
2,14,2.223404255319149,0.7411347517730497
2,15,3.234042553191489,1.0780141843971631
2,16,2.5638297872340425,0.8546099290780141
2,17,1.6595744680851061,0.553191489361702
2,18,1.1595744680851066,0.3865248226950355
2,19,1.9574468085106382,0.652482269503546
2,20,2.0106382978723403,0.6702127659574467
2,21,1.8085106382978722,0.6028368794326241
2,22,1.1914893617021276,0.39716312056737585
2,23,1.276595744680851,0.42553191489361697
2,24,1.2446808510638296,0.41489361702127653
2,25,1.0425531914893618,0.3475177304964539
2,26,1.1382978723404256,0.37943262411347517
2,27,1.1914893617021276,0.39716312056737585
2,28,1.1063829787234043,0.3687943262411348
2,29,0.6914893617021276,0.2304964539007092
2,30,0.7765957446808511,0.2588652482269504
2,31,0.7978723404255319,0.26595744680851063
2,32,0.648936170212766,0.21631205673758866
2,33,0.6914893617021276,0.2304964539007092
2,34,0.7553191489361702,0.2517730496453901
2,35,0.7021276595744681,0.23404255319148937
2,36,0.7127659574468085,0.23758865248226949
2,37,0.7765957446808511,0.2588652482269504
