Combo_ID,RSU1_ID,RSU1_X,RSU1_Y,RSU1_Single_PDR,RSU2_ID,RSU2_X,RSU2_Y,RSU2_Single_PDR,Combined_PDR
Combo_1,cluster_15159499_18038479_21113262_347787163_8851291,1318.7267715336056,1365.101456163451,28.212765957446805,1391319738,1108.2293298036093,1394.3961526518688,25.20212765957447,26.550531914893615
Combo_2,cluster_15159499_18038479_21113262_347787163_8851291,1318.7267715336056,1365.101456163451,28.212765957446805,348243041,1355.8599521644646,1566.672000435181,17.76595744680851,22.54787234042553
Combo_27,1391319738,1108.2293298036093,1394.3961526518688,25.20212765957447,348243041,1355.8599521644646,1566.672000435181,17.76595744680851,20.520744680851063
Combo_3,cluster_15159499_18038479_21113262_347787163_8851291,1318.7267715336056,1365.101456163451,28.212765957446805,1154372516,2359.9078877496067,1065.4797123670578,5.5638297872340425,16.882978723404253
Combo_5,cluster_15159499_18038479_21113262_347787163_8851291,1318.7267715336056,1365.101456163451,28.212765957446805,21970024,1584.957231852226,1011.3611775385216,3.861702127659575,16.377659574468083
Combo_4,cluster_15159499_18038479_21113262_347787163_8851291,1318.7267715336056,1365.101456163451,28.212765957446805,cluster_1291385696_21971288,2460.9949975714558,1244.2001482555645,4.425531914893617,16.24468085106383
Combo_6,cluster_15159499_18038479_21113262_347787163_8851291,1318.7267715336056,1365.101456163451,28.212765957446805,17574097,1903.3333228518024,1893.8638708032668,3.446808510638298,16.02659574468085
Combo_8,cluster_15159499_18038479_21113262_347787163_8851291,1318.7267715336056,1365.101456163451,28.212765957446805,26841333,2582.2896374859847,2018.526972612366,2.8191489361702127,15.654255319148936
Combo_9,cluster_15159499_18038479_21113262_347787163_8851291,1318.7267715336056,1365.101456163451,28.212765957446805,17574061,1613.6646088467678,1704.3019306017086,2.606382978723404,15.53191489361702
Combo_7,cluster_15159499_18038479_21113262_347787163_8851291,1318.7267715336056,1365.101456163451,28.212765957446805,26841358,2169.4467541250638,1324.998076606542,2.872340425531915,15.436170212765957
Combo_28,1391319738,1108.2293298036093,1394.3961526518688,25.20212765957447,1154372516,2359.9078877496067,1065.4797123670578,5.5638297872340425,15.367021276595743
Combo_10,cluster_15159499_18038479_21113262_347787163_8851291,1318.7267715336056,1365.101456163451,28.212765957446805,19755457,742.8685853922507,1547.9398867161945,1.8617021276595744,15.042553191489361
Combo_11,cluster_15159499_18038479_21113262_347787163_8851291,1318.7267715336056,1365.101456163451,28.212765957446805,cluster_314448309_824235741,844.8437027597101,1218.2629532963035,1.6382978723404256,14.819148936170212
Combo_30,1391319738,1108.2293298036093,1394.3961526518688,25.20212765957447,21970024,1584.957231852226,1011.3611775385216,3.861702127659575,14.797872340425533
Combo_13,cluster_15159499_18038479_21113262_347787163_8851291,1318.7267715336056,1365.101456163451,28.212765957446805,19755421,1418.29960822477,1995.0837304303425,1.1702127659574468,14.765957446808512
Combo_12,cluster_15159499_18038479_21113262_347787163_8851291,1318.7267715336056,1365.101456163451,28.212765957446805,314448358,749.7437549999449,1024.7167288772762,1.5425531914893618,14.755319148936168
Combo_29,1391319738,1108.2293298036093,1394.3961526518688,25.20212765957447,cluster_1291385696_21971288,2460.9949975714558,1244.2001482555645,4.425531914893617,14.73404255319149
Combo_14,cluster_15159499_18038479_21113262_347787163_8851291,1318.7267715336056,1365.101456163451,28.212765957446805,252726522,2158.717895301874,662.6837204853073,1.0851063829787235,14.659574468085108
Combo_15,cluster_15159499_18038479_21113262_347787163_8851291,1318.7267715336056,1365.101456163451,28.212765957446805,26841354,1879.9209603789493,1613.339192780666,0.8936170212765958,14.563829787234042
Combo_31,1391319738,1108.2293298036093,1394.3961526518688,25.20212765957447,17574097,1903.3333228518024,1893.8638708032668,3.446808510638298,14.51595744680851
Combo_16,cluster_15159499_18038479_21113262_347787163_8851291,1318.7267715336056,1365.101456163451,28.212765957446805,21970003,1392.5806327123428,1092.7498201234266,0.7872340425531915,14.48404255319149
Combo_18,cluster_15159499_18038479_21113262_347787163_8851291,1318.7267715336056,1365.101456163451,28.212765957446805,14319161,219.0621956209652,933.7101204860955,0.6914893617021276,14.457446808510637
Combo_17,cluster_15159499_18038479_21113262_347787163_8851291,1318.7267715336056,1365.101456163451,28.212765957446805,cluster_347349857_347349858,292.67258916574065,1397.3318315809593,0.6914893617021276,14.329787234042554
Combo_19,cluster_15159499_18038479_21113262_347787163_8851291,1318.7267715336056,1365.101456163451,28.212765957446805,12452103,2465.67790639808,599.2091947440058,0.3723404255319149,14.302127659574468
Combo_20,cluster_15159499_18038479_21113262_347787163_8851291,1318.7267715336056,1365.101456163451,28.212765957446805,354910587,463.9579251469113,585.6913986252621,0.3085106382978723,14.249999999999998
Combo_33,1391319738,1108.2293298036093,1394.3961526518688,25.20212765957447,26841333,2582.2896374859847,2018.526972612366,2.8191489361702127,14.148936170212767
Combo_22,cluster_15159499_18038479_21113262_347787163_8851291,1318.7267715336056,1365.101456163451,28.212765957446805,89119479,1977.410551787936,1232.4977780682966,0.0638297872340425,14.143617021276594
Combo_21,cluster_15159499_18038479_21113262_347787163_8851291,1318.7267715336056,1365.101456163451,28.212765957446805,12247702,570.1719344240846,1877.2897394159809,0.0744680851063829,14.142553191489363
Combo_25,cluster_15159499_18038479_21113262_347787163_8851291,1318.7267715336056,1365.101456163451,28.212765957446805,cluster_12247700_12529558,489.9967898771865,1517.3900169646367,0.0,14.105319148936172
Combo_23,cluster_15159499_18038479_21113262_347787163_8851291,1318.7267715336056,1365.101456163451,28.212765957446805,19769114,192.70471265434756,703.2901573758572,0.0,14.105319148936172
Combo_26,cluster_15159499_18038479_21113262_347787163_8851291,1318.7267715336056,1365.101456163451,28.212765957446805,26841336,2130.120112635312,1638.0973390536385,0.0,14.105319148936172
Combo_24,cluster_15159499_18038479_21113262_347787163_8851291,1318.7267715336056,1365.101456163451,28.212765957446805,16933971,935.1924915671116,1922.187656639144,0.0,14.105319148936172
Combo_34,1391319738,1108.2293298036093,1394.3961526518688,25.20212765957447,17574061,1613.6646088467678,1704.3019306017086,2.606382978723404,13.946808510638299
Combo_32,1391319738,1108.2293298036093,1394.3961526518688,25.20212765957447,26841358,2169.4467541250638,1324.998076606542,2.872340425531915,13.930851063829788
Combo_36,1391319738,1108.2293298036093,1394.3961526518688,25.20212765957447,cluster_314448309_824235741,844.8437027597101,1218.2629532963035,1.6382978723404256,13.340425531914892
Combo_37,1391319738,1108.2293298036093,1394.3961526518688,25.20212765957447,314448358,749.7437549999449,1024.7167288772762,1.5425531914893618,13.276595744680849
Combo_38,1391319738,1108.2293298036093,1394.3961526518688,25.20212765957447,19755421,1418.29960822477,1995.0837304303425,1.1702127659574468,13.26595744680851
Combo_35,1391319738,1108.2293298036093,1394.3961526518688,25.20212765957447,19755457,742.8685853922507,1547.9398867161945,1.8617021276595744,13.191489361702127
Combo_39,1391319738,1108.2293298036093,1394.3961526518688,25.20212765957447,252726522,2158.717895301874,662.6837204853073,1.0851063829787235,13.154255319148936
