ID,Lat,Lon,Sim_X,Sim_Y,PDR
cluster_15159499_18038479_21113262_347787163_8851291,49.576082,11.01588,1318.7267715336056,1365.101456163451,40.239000000000004
cluster_12247700_12529558,49.57765,11.00448,489.99678987718653,1517.3900169646367,0.297
cluster_347349857_347349858,49.576618,11.001708,292.67258916574065,1397.3318315809593,1.162
26841354,49.578178,11.02373,1879.9209603789495,1613.339192780666,1.6680000000000001
17574061,49.57906,11.020083,1613.6646088467678,1704.3019306017086,14.318
348243041,49.577885,11.016468,1355.8599521644646,1566.672000435181,20.89
16933971,49.581182,11.010784,935.1924915671116,1922.1876566391438,0.0
19755457,49.577864,11.007987,742.8685853922507,1547.9398867161945,2.44
12247702,49.580866,11.005721,570.1719344240846,1877.2897394159809,1.6199999999999999
14319161,49.572468,11.00052,219.0621956209652,933.7101204860955,0.04
19769114,49.570403,11.000071,192.70471265434753,703.2901573758572,0.0
cluster_314448309_824235741,49.574876,11.009275,844.8437027597101,1218.2629532963037,1.1809999999999998
89119479,49.574731,11.024936,1977.4105517879361,1232.4977780682966,0.335
21970003,49.573616,11.0168,1392.5806327123428,1092.7498201234266,1.303
17574097,49.580694,11.024158,1903.3333228518022,1893.8638708032668,22.933999999999997
26841336,49.57834,11.027198,2130.1201126353117,1638.0973390536383,0.15
1154372516,49.573137,11.030161,2359.9078877496067,1065.4797123670578,13.99
26841358,49.575516,11.027625,2169.4467541250633,1324.9980766065419,1.97
12452103,49.56892,11.031449,2465.6779063980794,599.2091947440058,2.814
1391319738,49.576396,11.012981,1108.2293298036093,1394.3961526518688,34.94
19755421,49.581721,11.01749,1418.29960822477,1995.0837304303423,10.658
21970024,49.572838,11.019429,1584.957231852226,1011.3611775385216,3.05
252726522,49.569565,11.02723,2158.717895301874,662.6837204853073,1.7500000000000002
26841333,49.58165,11.033591,2582.2896374859847,2018.526972612366,7.944
314448358,49.573159,11.007889,749.7437549999449,1024.7167288772762,0.814
354910587,49.569281,11.003777,463.9579251469113,585.6913986252621,0.02
cluster_1291385696_21971288,49.574719,11.031625,2460.9949975714553,1244.2001482555643,7.582999999999999
