ID,Rel_X,Rel_Y,Lat,Lon,PDR
Grid_1,37.5,37.5,49.561746398060414,10.998262328733475,0.0
Grid_2,37.5,112.5,49.56242059259902,10.998289853229208,0.0
Grid_3,37.5,187.5,49.56309478704737,10.99831737875892,0.0
Grid_4,37.5,262.5,49.56376898140548,10.998344905322663,0.0
Grid_5,37.5,337.5,49.56444317567334,10.998372432920485,0.0
Grid_6,37.5,412.5,49.56511736985094,10.998399961552439,0.0
Grid_7,37.5,487.5,49.5657915639383,10.998427491218573,0.0
Grid_8,37.5,562.5,49.56646575793541,10.998455021918938,0.02
Grid_9,37.5,637.5,49.56713995184227,10.998482553653586,0.11
Grid_10,37.5,712.5,49.56781414565889,10.998510086422565,0.16999999999999998
Grid_11,37.5,787.5,49.56848833938526,10.998537620225925,0.22
Grid_12,37.5,862.5,49.56916253302137,10.998565155063718,0.38999999999999996
Grid_13,37.5,937.5,49.569836726567246,10.998592690935993,1.34
Grid_14,37.5,1012.5,49.57051092002286,10.998620227842801,3.6700000000000004
Grid_15,37.5,1087.5,49.57118511338823,10.998647765784192,0.43
Grid_16,37.5,1162.5,49.57185930666335,10.998675304760217,0.33999999999999997
Grid_17,37.5,1237.5,49.57253349984821,10.998702844770927,1.13
Grid_18,37.5,1312.5,49.57320769294283,10.99873038581637,1.39
Grid_19,37.5,1387.5,49.573881885947195,10.998757927896596,1.3299999999999998
Grid_20,37.5,1462.5,49.574556078861306,10.998785471011658,1.35
Grid_21,37.5,1537.5,49.57523027168516,10.998813015161604,0.37
Grid_22,37.5,1612.5,49.57590446441878,10.998840560346487,0.24
Grid_23,37.5,1687.5,49.57657865706213,10.998868106566354,0.19
Grid_24,37.5,1762.5,49.577252849615235,10.998895653821258,0.18
Grid_25,37.5,1837.5,49.577927042078095,10.998923202111246,0.13999999999999999
Grid_26,37.5,1912.5,49.57860123445069,10.998950751436372,0.03
Grid_27,37.5,1987.5,49.579275426733034,10.998978301796685,0.0
Grid_28,37.5,2062.5,49.57994961892513,10.999005853192235,0.0
Grid_29,37.5,2137.5,49.580623811026975,10.999033405623074,0.0
Grid_30,37.5,2212.5,49.58129800303855,10.999060959089249,0.0
