Step,Temp,X,Y,Lat,Lon,PDR,Accepted,IsBest
1,10.0,1686.4102592916372,2327.1354870488067,49.581932342993305,11.021899835723323,0.9042553191489361,True,False
2,10.0,1791.3809139252958,2273.1830313361597,49.58142198869354,11.023331012279288,2.223404255319149,True,True
3,10.0,1729.611187224525,2336.3888358105114,49.58200508305082,11.022500536328904,1.2234042553191489,True,False
4,8.5,1729.611187224525,2336.3888358105114,49.58200508305082,11.022500536328904,1.2234042553191489,False,False
5,8.5,1812.412797763049,2244.1258622900605,49.58115570579281,11.023610972587424,2.372340425531915,True,True
6,8.5,1947.7390815632227,2276.322371758907,49.58141238464456,11.02549383648084,2.4893617021276593,True,True
7,7.225,1857.5585667814355,2424.496159008801,49.58276615160911,11.024302213354268,1.276595744680851,True,False
8,7.225,1719.2244449778407,2549.242889851335,49.583920958516266,11.022436054227795,0.0,True,False
9,7.225,1728.2401394892531,2534.1561269559197,49.58378316324468,11.022555094690443,0.0,True,False
10,6.141249999999999,1677.1259614177911,2585.4479826012684,49.58425658239034,11.02186746503805,0.0,True,False
11,6.141249999999999,1591.9407228106434,2663.671193772944,49.58498031451711,11.02071875833875,0.0,True,False
12,6.141249999999999,1522.1353989307643,2561.1027323195362,49.58407516795108,11.019715548615768,0.0,True,False
13,5.220062499999999,1541.4552625100264,2628.159368142127,49.58467328393512,11.020007557821465,0.0,True,False
14,5.220062499999999,1671.794444826366,2505.6571543418795,49.58354062303479,11.021764102480798,0.0,True,False
15,5.220062499999999,1653.98579173979,2364.007554322745,49.58227162285471,11.021465259400557,0.35106382978723405,True,False
16,4.437053124999999,1618.0828992042716,2372.3460377635106,49.58235524985036,11.020971988293098,0.0425531914893617,True,False
17,4.437053124999999,1491.3455934461233,2452.6125264131533,49.58310736786544,11.019249590353162,0.0,True,False
18,4.437053124999999,1372.5217202890651,2487.051534398388,49.58344560416692,11.017619554249864,0.0,True,False
19,3.7714951562499994,1326.0761840791831,2347.920076236272,49.582206130341085,11.01692583877622,0.0,True,False
20,3.7714951562499994,1237.0827531803957,2307.556859182695,49.581864742097586,11.015680523166981,0.06382978723404255,True,False
21,3.7714951562499994,1326.8292872731938,2159.183052683575,49.58050936759263,11.016866292537557,0.5106382978723404,True,False
22,3.2057708828124993,1420.5511534530176,2098.3514819071775,49.579939950859625,11.018139420084351,0.7127659574468085,True,False
23,3.2057708828124993,1525.7072305033623,2122.103843787006,49.58012809598983,11.01960198213249,1.5531914893617023,True,False
24,3.2057708828124993,1457.3639821846223,1985.7789836576612,49.57891914445673,11.018606585507998,1.776595744680851,True,False
25,2.7249052503906244,1386.1042153135052,2016.1820733888912,49.579209625573235,11.017632735937449,0.7340425531914894,True,False
26,2.7249052503906244,1533.8866137159898,2111.144527300834,49.58002760748791,11.019710991987028,1.6595744680851061,True,False
27,2.7249052503906244,1638.2164147007509,2074.4046767342793,49.579672161249796,11.02113967065892,2.382978723404255,True,False
28,2.316169462832031,1703.8552172778207,2219.0956730625194,49.5809569473542,11.02210086541287,2.2021276595744683,True,False
