ID,Lat,Lon,Sim_X,Sim_Y,PDR
cluster_15159499_18038479_21113262_347787163_8851291,49.576082,11.01588,1218.7267715336056,1965.101456163451,87
cluster_12247700_12529558,49.57765,11.00448,389.99678987718653,2117.3900169646367,63
cluster_347349857_347349858,49.576618,11.001708,192.67258916574065,1997.3318315809593,48
26841354,49.578178,11.02373,1779.9209603789495,2213.339192780666,47
17574061,49.57906,11.020083,1513.6646088467678,2304.3019306017086,43
348243041,49.577885,11.016468,1255.8599521644646,2166.672000435181,43
16933971,49.581182,11.010784,835.1924915671116,2522.187656639144,42
17573721,49.581003,11.008412,664.2739611938596,2497.708925690502,42
19755457,49.577864,11.007987,642.8685853922507,2147.9398867161945,42
12247702,49.580866,11.005721,470.1719344240846,2477.289739415981,41
14319161,49.572468,11.00052,119.06219562096521,1533.7101204860955,41
19769114,49.570403,11.000071,92.70471265434753,1303.2901573758572,41
cluster_314448309_824235741,49.574876,11.009275,744.8437027597101,1818.2629532963037,41
21969082,49.577636,11.010613,833.3679417297244,2127.663994360715,40
89119479,49.574731,11.024936,1877.4105517879361,1832.4977780682966,39
17574090,49.579398,11.02534,1892.6485959732672,2352.09295474831,37
26841356,49.576853,11.022103,1666.2722900888184,2062.8825021469966,37
21970003,49.573616,11.0168,1292.5806327123428,1692.7498201234266,36
17574097,49.580694,11.024158,1803.3333228518022,2493.8638708032668,35
26841336,49.57834,11.027198,2030.1201126353117,2238.0973390536383,35
17574059,49.580844,11.020293,1523.5182129364694,2503.0288615338504,34
347349917,49.577991,11.000563,105.8446501448052,2147.760720222257,34
1154372516,49.573137,11.030161,2259.9078877496067,1665.4797123670578,32
13493753,49.578952,11.005236,440.7870319680078,2263.5840466925874,32
15420062,49.581863,11.012807,979.3907074285671,2601.801922082901,32
19755477,49.579812,11.009866,772.9077590155648,2368.1175167085603,32
21262677,49.582697,11.009517,739.1139684350928,2688.1565454667434,32
26841358,49.575516,11.027625,2069.4467541250633,1924.9980766065419,32
14319163,49.575059,11.002928,285.47726930631325,1826.371799364686,31
12452103,49.56892,11.031449,2365.6779063980794,1199.2091947440058,30
1391319738,49.576396,11.012981,1008.2293298036093,1994.3961526518688,30
16933976,49.577808,11.01275,987.3313825497171,2150.915150801651,30
19755421,49.581721,11.01749,1318.29960822477,2595.0837304303423,30
21970024,49.572838,11.019429,1484.957231852226,1611.3611775385216,30
252726522,49.569565,11.02723,2058.717895301874,1262.6837204853073,30
26841333,49.58165,11.033591,2482.2896374859847,2618.526972612366,30
314448358,49.573159,11.007889,649.7437549999449,1624.7167288772762,30
354910587,49.569281,11.003777,363.9579251469113,1185.691398625262,30
39537846,49.571024,11.026267,1984.7271942941006,1422.9984422298148,30
cluster_1291385696_21971288,49.574719,11.031625,2360.9949975714553,1844.2001482555643,30
