Step,Temp,X,Y,Lat,Lon,PDR,Accepted,IsBest
1,10.0,1599.1491686192714,0.0,49.56103450857409,11.019829710873289,0.0,True,True
2,10.0,1652.1590148461448,117.6538703114536,49.56207932267262,11.020605929441073,0.0,True,True
3,10.0,1628.7355607517259,0.0,49.561027369084364,11.020238574397945,0.0,True,True
4,8.5,1630.3421471827346,0.0,49.5610269813578,11.020260776309222,0.0,True,True
5,8.5,1675.3074785165916,13.48244418096499,49.56113732343828,11.020887169584318,0.0,True,True
6,8.5,1702.0871836793642,106.31158118431298,49.56196531150618,11.02129170611984,0.0,True,True
7,7.225,1793.8329592292066,165.75339968078103,49.562477481335726,11.022581671816427,0.3617021276595745,True,True
8,7.225,1793.8329592292066,165.75339968078103,49.562477481335726,11.022581671816427,0.3617021276595745,False,True
9,7.225,1744.8113227629947,43.5771526948254,49.56139106568422,11.021858840374323,0.0,True,False
10,6.141249999999999,1849.0596326672326,74.69496210489271,49.561645599552165,11.023311050821583,0.0,True,False
11,6.141249999999999,1917.9791686753779,85.56338954130294,49.56172663512401,11.02426752127925,0.0,True,False
12,6.141249999999999,1881.5394818378838,101.17557892327105,49.56187578564648,11.023769746557806,0.0,True,False
13,5.220062499999999,1917.0954075471577,209.6876490165042,49.562842616294475,11.024301453769887,0.5212765957446809,True,True
14,5.220062499999999,1940.3010511241864,271.0591998809812,49.56338867996097,11.024644971456032,1.074468085106383,True,True
15,5.220062499999999,1804.048366220885,189.42868257644528,49.562687833085945,11.02273164072741,0.6382978723404255,True,False
16,4.437053124999999,1677.9859592979733,109.26594848475433,49.56199768779902,11.02095973420909,0.0,True,False
17,4.437053124999999,1611.378040231001,149.97128176407438,49.5623796708365,11.020054341996195,0.13829787234042554,True,False
18,4.437053124999999,1570.8276939220264,111.02557189913917,49.56203936640023,11.01947950408032,0.0,True,False
19,3.7714951562499994,1500.9210405367603,242.02194821288737,49.563233772976766,11.018561984695264,0.5319148936170213,True,False
20,3.7714951562499994,1545.3316561107383,274.7612499129838,49.563517360364045,11.019187878046779,0.8404255319148936,True,False
21,3.7714951562499994,1446.6732505701675,343.49928929808857,49.564159047036725,11.017849890934755,1.2872340425531914,True,True
22,3.2057708828124993,1446.6732505701675,343.49928929808857,49.564159047036725,11.017849890934755,1.2872340425531914,False,True
23,3.2057708828124993,1488.6731785263953,360.58421243048247,49.56430249994256,11.018436672409953,1.5531914893617023,True,True
24,3.2057708828124993,1544.0574538233577,463.43978848742535,49.565213725831875,11.019240242872813,2.404255319148936,True,True
25,2.7249052503906244,1626.857427287231,382.1542100766567,49.56446305934897,11.020354415178797,1.9148936170212765,True,False
26,2.7249052503906244,1571.4933417049556,312.4764728693675,49.56385007658692,11.019563422335281,1.202127659574468,True,False
27,2.7249052503906244,1704.366256005472,425.3867608111682,49.564832969807526,11.021441659316816,1.425531914893617,True,False
